date,total_pnl,mean_pnl,pnl_volatility,max_loss,trades,unique_traders,avg_trade_size,total_volume,total_fees,avg_exposure,buy_trades,sell_trades,buy_sell_ratio,value,classification,sentiment
2024-07-01,-835.681235,-8.615270463917525,34.037905927281535,-199.52222,97,1,10812.887216494846,1048850.06,262.212464,1702.9123856131373,52,45,1.1304347826086956,53,Neutral,Neutral
2024-07-02,241.24212,16.082808,56.54657345272468,0.0,15,1,450.582,6758.73,0.339693,884.1511558239878,7,8,0.7777777777777778,51,Neutral,Neutral
2024-07-04,0.0,0.0,0.0,0.0,23,1,2173.397391304348,49988.14,17.495845,0.6396866868467882,0,23,0.0,44,Fear,Fear
2024-07-05,883.537693,49.08542738888889,57.79243416391551,0.0,18,3,6039.865555555556,108717.58,38.039061,34437.03968221527,6,12,0.46153846153846156,29,Fear,Fear
2024-07-06,8902.467416,20.23288049090909,103.25220050843622,-0.2232,440,3,2496.7926363636366,1098588.76,372.962664,620.1386324500214,181,259,0.6961538461538461,26,Fear,Fear
2024-07-07,61.428942,6.1428942,4.100173833321266,2.457158,10,1,49.875,498.75,0.049875,12.499999996867166,0,10,0.0,29,Fear,Fear
2024-07-08,188.789255,5.720886515151515,10.349410204930836,0.0,33,3,75.53848484848484,2492.77,3.7522038,885.1408734349712,12,21,0.5454545454545454,28,Fear,Fear
2024-07-10,0.0,0.0,0.0,0.0,21,1,10475.459523809524,219984.65,76.994616,0.16447143219450655,0,21,0.0,28,Fear,Fear
2024-07-11,4493.353136,39.764187044247784,107.40420684370638,0.0,113,3,985.2681415929204,111335.3,26.17844238,1173.1489891972592,53,60,0.8688524590163934,29,Fear,Fear
2024-07-12,85906.279067,282.5864442993421,2478.915786497859,-3.056424,304,6,1485.965197368421,451733.42,108.4520379,4247.277340903604,110,194,0.5641025641025641,25,Fear,Fear
2024-08-01,-269.874439,-2.1083940546875,122.41963598502315,-885.226353,128,1,11894.159609375,1522452.43,380.613064,844.685962006836,40,88,0.449438202247191,52,Neutral,Neutral
2024-08-02,770.756024,77.07560240000001,139.74567826297627,0.0,10,1,2605.112,26051.12,3.0028870000000003,560994.2690197866,2,8,0.2222222222222222,57,Greed,Greed
2024-08-03,4271.886236,63.7594960597015,148.75855367571137,0.0,67,1,2740.047462686567,183583.18,-3.6716290000000003,51466.7288300553,19,48,0.3877551020408163,37,Fear,Fear
2024-08-04,1218.4267,40.614223333333335,222.45326275219327,0.0,30,2,7064.688,211940.64,61.790548,383.0683187613655,1,29,0.03333333333333333,34,Fear,Fear
2024-08-05,1.56576,0.12044307692307693,1.641780493282545,-3.17364,13,2,5074.89,65973.57,23.076826,18.45187184304236,12,1,6.0,26,Fear,Fear
2024-08-06,129.13883900000002,4.453063413793104,13.610694021064663,0.0,29,2,3356.961379310345,97351.88,34.073137,83.629662930336,21,8,2.3333333333333335,17,Extreme Fear,Fear
2024-08-07,0.0,0.0,,0.0,1,1,497.64,497.64,0.0156,155.99999995109718,1,0,1.0,29,Fear,Fear
2024-08-08,-40.712216999999995,-4.5235796666666666,9.68187399440364,-29.513287,9,2,1811.038888888889,16299.35,6.647995,1616.2159039564754,5,4,1.0,20,Extreme Fear,Fear
2024-08-09,0.0,0.0,,0.0,1,1,0.11,0.11,0.0,0.9356924044258897,0,1,0.0,48,Neutral,Neutral
2024-08-10,5396.546638,149.90407327777777,223.40754741053024,0.0,36,2,12071.781388888889,434584.13,152.10422,11.518571611538906,34,2,11.333333333333334,40,Fear,Fear
2024-08-11,-64.41354100000007,-1.6516292564102582,72.4018294193872,-195.741504,39,2,6941.036923076923,270700.44,93.87825699999999,205.809351517931,23,16,1.3529411764705883,39,Fear,Fear
2024-08-12,15965.933436,38.014127228571425,232.61343396421137,-18.85823,420,6,2221.2850476190474,932939.72,234.17888346,2215.130559976956,82,338,0.24188790560471976,25,Fear,Fear
2024-09-01,-826.349863,-11.804998042857143,214.1803231936485,-1685.2222,70,1,12429.313857142857,870051.97,204.012928,1847.9474599830635,28,42,0.6511627906976745,26,Fear,Fear
2024-09-03,9949.501624,85.03847541880343,154.56552113291943,-69.5729,117,1,5625.459401709401,658178.75,1.8517640000000002,153711.75109842574,83,34,2.3714285714285714,26,Fear,Fear
